token	type	pattern	prevWord	prevPos	reason	count	example1	example2
Stimme	wrong_capitalized	Ich+PRON	Ich	PRON	prose_strict_homograph	4	lesen-t4-gemini-021.json: die Lebensqualität. Ich Stimme dem Plan zu.	lesen-t4-gemini-023.json: weniger Klimawandel. Ich Stimme dem Vorschlag voll zu
machen	noun_lowercase	einfacher+ADV	einfacher	ADV	lexicon_override_tag	2	lesen-t1-gemini-164.json: Programm soll es einfacher machen, gemeinsame Aktivitäten zu	lesen-t2-gemini-087.json: Beruf für Zugewanderte einfacher machen.
Essen	wrong_capitalized	Gemüse+NOUN	Gemüse	NOUN	verb_census_no_finite	2	lesen-t2-gemini-060.json: mehr Obst und Gemüse Essen und lieber draußen spielen	lesen-t2-gemini-060.json: mehr Obst und Gemüse Essen und lieber draußen spielen
Deutschen	wrong_capitalized	in+ADP	in	ADP	adj_after_prep	2	lesen-t2-gemini-079.json: dass viele Bewohner in Deutschen Städten solche Systeme interessant	lesen-t2-gemini-088.json: Immer mehr Bewohner in Deutschen Großstädten entdecken ihre Dächer
Wissen	wrong_capitalized	nur+ADV	nur	ADV	verb_census_no_finite	2	lesen-t2-gemini-083.json: Kinder dabei nicht nur Wissen sammeln, sondern auch	lesen-t2-gemini-083.json: dass Kinder nicht nur Wissen sammeln, sondern auch
Stärken	wrong_capitalized	Gemeinschaft+NOUN	Gemeinschaft	NOUN	verb_census_no_finite	2	lesen-t2-gemini-089.json: das Gefühl der Gemeinschaft Stärken. Die Zeitungen sind	lesen-t2-gemini-089.json: das Gefühl der Gemeinschaft Stärken.
Nachrichten	wrong_capitalized	Erwachsene+NOUN	Erwachsene	NOUN	verb_census_no_finite	2	lesen-t2-gemini-089.json: Jugendliche und junge Erwachsene Nachrichten oft über Instagram,	lesen-t2-gemini-089.json: Jugendliche und junge Erwachsene Nachrichten oft über soziale Medien
laufen	noun_lowercase	wieder+ADV	wieder	ADV	lexicon_override_tag	2	lesen-t3-auto-urnm92.json: ausgefallen, die wieder laufen soll.	lesen-t3-auto-wskehx.json: ausgefallen, die wieder laufen soll.
Glaube	wrong_capitalized	Ich+PRON	Ich	PRON	prose_strict_homograph	2	lesen-t4-gemini-024.json: nur Plastik. Ich Glaube nicht, dass dieser	lesen-t4-gemini-025.json: Kontrolle fehlt. Ich Glaube nicht, dass es
buchen	noun_lowercase	vorher+ADV	vorher	ADV	lexicon_override_tag	2	lesen-t5-gemini-041.json: muss eine Woche vorher buchen und zahlt 15 Euro	lesen-t5-gemini-041.json: mindestens einen Tag vorher buchen und zahlt 30 Euro
