file,teil,action,topicTag,confidence,hits,sample
lesen-t1-gemini-147.json,1,would_apply,Freizeit,high,Freizeit:3 | Arbeit:2 | Stadtleben:2,Mein Weg zur Gärtnerin Ich habe vor Kurzem eine große Entscheidung getroffen: Ich habe meine alte Arbeit in der Stadt ve
lesen-t1-gemini-154.json,1,would_apply,Freizeit,high,Freizeit:3 | Familie:2 | Arbeit:1,Meine Familie und ich: Prioritäten setzen Ich habe immer viel Wert auf meine Familie gelegt. Seit meine Kinder klein sin
lesen-t2-gemini-060.json,2,would_apply,Konsum,high,Konsum:5 | Ernährung:4 | Freizeit:4,"Frische Luft und Bewegung: Gartenarbeit als Gesundheits-Tipp Gartenarbeit wird immer beliebter, besonders für Menschen, "
lesen-t2-gemini-061.json,2,would_apply,Reisen,high,Reisen:5 | Arbeit:3 | Konsum:3,"Reisen mit Verantwortung: Neue Wege entdecken Immer mehr Menschen möchten im Urlaub nicht nur entspannen, sondern auch d"
lesen-t2-gemini-062.json,2,would_apply,Konsum,medium,Konsum:4 | Ernährung:4 | Reisen:2,"Entspannung im Alltag: Kleine Pausen für mehr Wohlbefinden Viele Menschen fühlen sich im Alltag oft gestresst. Arbeit, F"
lesen-t2-gemini-066.json,2,would_apply,Freizeit,high,Freizeit:5 | Technik:3 | Medien:3,"Freizeit im Stadtgarten „Grüne Oase“ Viele Menschen in der Stadt suchen nach Möglichkeiten, ihre Freizeit sinnvoll zu ge"
lesen-t3-auto-001.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. BogenStrich — Unterricht an der Geige für Anfänger, Sa vormittags, k"
lesen-t3-auto-002.json,3,would_apply,Wohnen,high,Wohnen:4 | Kultur:2 | Freizeit:2,Bei Lena macht das Gerät zum Fotografieren keine scharfen Bilder mehr; es soll gerichtet werden. TonWerk — Wir repariere
lesen-t3-auto-003.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. DruckDoc — Wir reparie
lesen-t3-auto-004.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-auto-007.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. Glanzfix — Pflege und 
lesen-t3-auto-008.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. DisplayFix — Wir reparieren Handys und tauschen gespr
lesen-t3-auto-009.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-auto-010.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. Pfotenglück — Pflege Ihres Hundes im Urla
lesen-t3-auto-011.json,3,would_apply,Wohnen,high,Wohnen:3 | Bildung:2 | Freizeit:2,Pauls Tochter kommt in der Grundschule beim Schreiben nicht mit und braucht Förderung. LeseLust — Nachhilfe im Lesen und
lesen-t3-auto-013.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. Sauberzauber — Pflege 
lesen-t3-auto-014.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. Pfötchen — Liebevolle 
lesen-t3-auto-015.json,3,would_apply,Arbeit,medium,Arbeit:2 | Wohnen:2 | Reisen:1,Bei Herrn Lang ist der Absatz vom Stiefel abgebrochen; er möchte ihn richten lassen. StrickKurs — Anfängerkurs Stricken 
lesen-t3-auto-016.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. KabelDoc — Wir reparie
lesen-t3-auto-017.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. Wasserratten — Schwimmkurs für Anfänger ab 16 "
