token	type	pattern	prevWord	prevPos	reason	count	example1	example2
online	noun_lowercase	,+PUNCT	,	PUNCT	lexicon_nn	98	lesen-t3-auto-013.json: 5 bis 10, online oder daheim, Di	lesen-t3-auto-013.json: 5 bis 10, online oder daheim, Di
Bahnhofsviertel	wrong_capitalized	Abholung+NOUN	Abholung	NOUN	verb_census_no_finite	70	lesen-t3-auto-004.json: 2 Jahre. Abholung Bahnhofsviertel.	lesen-t3-auto-004.json: 2 Jahre. Abholung Bahnhofsviertel.
Reisen	wrong_capitalized	Horizont+NOUN	Horizont	NOUN	verb_census_no_finite	70	lesen-t3-auto-004.json: F) Horizont Reisen — Pauschalreisen, Beratung	lesen-t3-auto-004.json: F) Horizont Reisen — Pauschalreisen, Beratung
Schrift	wrong_capitalized	auch+ADV	auch	ADV	verb_census_no_finite	70	lesen-t3-auto-008.json: in Arabisch, auch Schrift, Mo 18–19 Uhr	lesen-t3-auto-008.json: in Arabisch, auch Schrift, Mo 18–19 Uhr
Ballett	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	verb_census_no_finite	63	lesen-t3-auto-4w233t.json: ) SpitzenTanz — Anfängerkurs Ballett für Erwachsene, Di	lesen-t3-auto-4w233t.json: ) SpitzenTanz — Anfängerkurs Ballett für Erwachsene, Di
Gesang	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	verb_census_no_finite	49	lesen-t3-auto-002.json: ) StimmRaum — Anfängerkurs Gesang für Erwachsene, Mo	lesen-t3-auto-002.json: ) StimmRaum — Anfängerkurs Gesang für Erwachsene, Mo
Töpfern	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	verb_census_no_finite	49	lesen-t3-auto-002.json: ) ErdReich — Anfängerkurs Töpfern für Erwachsene, Sa	lesen-t3-auto-002.json: ) ErdReich — Anfängerkurs Töpfern für Erwachsene, Sa
BühnenLuft	wrong_capitalized	)+PUNCT	)	PUNCT	verb_census_no_finite	49	lesen-t3-auto-002.json: I) BühnenLuft — Anfängerkurs Theaterspielen,	lesen-t3-auto-002.json: I) BühnenLuft — Anfängerkurs Theaterspielen,
Theaterspielen	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	verb_census_no_finite	49	lesen-t3-auto-002.json: ) BühnenLuft — Anfängerkurs Theaterspielen, Mi 18–20 Uhr	lesen-t3-auto-002.json: ) BühnenLuft — Anfängerkurs Theaterspielen, Mi 18–20 Uhr
Stricken	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	verb_census_no_finite	35	lesen-t3-auto-015.json: ) StrickKurs — Anfängerkurs Stricken für Erwachsene, Do	lesen-t3-auto-015.json: ) StrickKurs — Anfängerkurs Stricken für Erwachsene, Do
TastenWelt	wrong_capitalized	)+PUNCT	)	PUNCT	verb_census_no_finite	28	lesen-t3-auto-001.json: E) TastenWelt — Unterricht am Klavier	lesen-t3-auto-001.json: E) TastenWelt — Unterricht am Klavier
Erste	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	adj_before_noun	28	lesen-t3-auto-0su12l.json: ) LebensRetter — Anfängerkurs Erste Hilfe, Sa 9–13	lesen-t3-auto-0su12l.json: ) LebensRetter — Anfängerkurs Erste Hilfe, Sa 9–13
Gemüsegarten	wrong_capitalized	Anfängerkurs+NOUN	Anfängerkurs	NOUN	verb_census_no_finite	14	lesen-t3-auto-urnm92.json: ) GrünKurs — Anfängerkurs Gemüsegarten anlegen, Sa 10–12	lesen-t3-auto-urnm92.json: ) GrünKurs — Anfängerkurs Gemüsegarten anlegen, Sa 10–12
Ton	wrong_capitalized	Professioneller+NOUN	Professioneller	NOUN	verb_census_no_finite	10	lesen-t3-auto-004.json: Professioneller Ton in Korrespondenz — Schreibcoaching	lesen-t3-auto-009.json: Professioneller Ton in Korrespondenz — Schreibcoaching
Nachhilfe	wrong_capitalized	Probestunde+NOUN	Probestunde	NOUN	verb_census_no_finite	10	lesen-t3-auto-004.json: PC-Hilfe oder kostenlose Probestunde Nachhilfe.	lesen-t3-auto-009.json: PC-Hilfe oder kostenlose Probestunde Nachhilfe.
